READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
01/01/2017 00.00,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2017 01.00,0.583097321,0.631706528,0.255601214,0.467921751,0.72610342,1.005458526,0.6608552,0.564870564,0.771831171,0.66689595,0.699235823,0.788721289,0.572554567,0.587576455,0.657861848,0.665713697,0.82392762,0.794175189,0.501319222,0.514472136,0.576012853,0.50378805,0.623518625,0.601003061
01/01/2017 02.00,0.573647321,0.634750893,0.476172064,0.597354585,0.72792643,1.02764788,0.647576707,0.565393821,0.754715949,0.694078904,0.703550459,0.782044375,0.55031466,0.576939281,0.646696396,0.596788904,0.704401959,0.739663154,0.480117135,0.503345549,0.564204524,0.493336754,0.582295303,0.611444041
01/01/2017 03.00,0.611800989,0.633882789,0.214612685,0.732411855,0.725150544,0.946178765,0.614836523,0.561454998,0.743113574,0.665405506,0.699745012,0.77998322,0.563761497,0.543150061,0.618815985,0.569981181,0.639635282,0.661809368,0.516204137,0.497331425,0.566614381,0.507734418,0.569781702,0.58953419
01/01/2017 04.00,0.661319407,0.62400309,0.245858299,0.611724422,0.710398897,0.971327663,0.594120758,0.563471696,0.754442891,0.625645374,0.697290947,0.778495297,0.521566214,0.520310826,0.600631937,0.546813924,0.647566765,0.595398669,0.491488991,0.490305998,0.565995222,0.515683032,0.610699871,0.561501779
01/01/2017 05.00,0.611273135,0.637077976,0.35942915,0.661103344,0.730049327,0.987196988,0.594058412,0.569262142,0.768598891,0.650798134,0.717838883,0.795233816,0.546310156,0.531889575,0.63290237,0.649509314,0.647139473,0.637406704,0.505094535,0.491761895,0.585153918,0.589402268,0.587251737,0.57841966
01/01/2017 06.00,0.622620395,0.634505227,0.488980432,0.494250571,0.746955345,1.017020983,0.601552533,0.57742455,0.798232608,0.626007343,0.728700086,0.835325388,0.563048155,0.518366616,0.620560714,0.621310208,0.659609718,0.664162314,0.538927489,0.496160082,0.593976242,0.552411213,0.586463573,0.590511318
01/01/2017 07.00,0.552293852,0.645026333,0.793999326,0.527945669,0.754572968,1.030626472,0.579141953,0.589461544,0.837211318,0.617069396,0.749231927,0.885452399,0.568682995,0.514006552,0.638635479,0.603413203,0.650753297,0.716501034,0.559674695,0.505864362,0.628519088,0.536546436,0.578640574,0.637102526
01/01/2017 08.00,0.616861186,0.659785485,0.464286099,0.530160098,0.773902393,1.018429725,0.585275181,0.611607129,0.885357183,0.606135508,0.781120318,0.929921861,0.579793322,0.537728354,0.682350665,0.602049662,0.680883638,0.78952947,0.571188422,0.529747754,0.672223679,0.552182594,0.624486844,0.724133669
01/01/2017 09.00,0.513171159,0.677709488,0.524619433,0.5812554,0.829378035,1.061701438,0.586543718,0.657572943,0.939118449,0.633679674,0.846801764,1.018968438,0.540288503,0.535851702,0.744369585,0.684547988,0.753267279,0.938180522,0.547103356,0.542610592,0.753758586,0.575560635,0.633339081,0.78881216
01/01/2017 10.00,0.950255167,0.699091998,0.897672064,0.82418615,0.873310146,1.208295973,0.587403642,0.673031689,0.965007339,0.64091499,0.900230241,1.06706077,0.53238017,0.504824329,0.705649376,0.635392982,0.804645226,0.922222651,0.579591619,0.549592127,0.76822633,0.525574581,0.665574046,0.76282993
01/01/2017 11.00,0.937742857,0.753524888,0.976622133,0.758637931,0.922590389,1.258422232,0.604110456,0.676147439,0.949387714,0.662915387,0.909807694,1.061877983,0.565714443,0.567877602,0.751461077,0.716217998,0.922119947,1.031356989,0.571716605,0.573902715,0.759433989,0.572726152,0.737376344,0.824728115
01/01/2017 12.00,1.007728571,0.779786669,1.149353576,0.766163225,0.92458343,1.269004923,0.607674055,0.675550459,0.945176193,0.707925413,0.913819907,1.023897071,0.563742675,0.625246672,0.771755915,0.553775468,0.905508415,0.866905841,0.54102814,0.600053994,0.740660031,0.497725709,0.813858403,0.779162945
01/01/2017 13.00,0.752161607,0.751598421,0.693048583,0.951997158,0.914995478,1.282793824,0.669191016,0.678065613,0.928236601,0.765019463,0.875855636,0.990970077,0.552394695,0.578283385,0.702612099,0.624915516,0.894337302,0.934251935,0.554667483,0.58066269,0.705502945,0.526418635,0.753375152,0.786998588
01/01/2017 14.00,1.109701786,0.743734362,0.539066801,0.837271788,0.905818656,1.200502994,0.694422546,0.665303337,0.913946184,0.664631525,0.854170295,0.969781166,0.603553929,0.575714602,0.70566698,0.53329131,0.819429527,0.842094784,0.602723146,0.574922139,0.704695639,0.500226932,0.768624409,0.789884407
01/01/2017 15.00,0.662497753,0.768337984,0.495129555,0.671941834,0.905842315,1.179525509,0.637100519,0.654616588,0.901535212,0.712600409,0.825969097,0.945319686,0.607573243,0.594448454,0.722912884,0.656573341,0.821267847,0.906915816,0.586603698,0.573931893,0.697962552,0.575457143,0.719804505,0.794871116
01/01/2017 16.00,0.756875893,0.77520356,0.71347031,0.754354964,0.916189782,1.183944368,0.541039411,0.651321838,0.893865883,0.743554687,0.823555894,0.94493235,0.660975616,0.570505251,0.672471254,0.51296637,0.776813044,0.843352194,0.671747502,0.579802746,0.683430484,0.48285343,0.731211371,0.793844438
01/01/2017 17.00,0.653403571,0.815213825,0.491160594,0.510532967,0.931027495,1.20906088,0.619644162,0.658264091,0.882069867,0.713834168,0.85062932,0.953903423,0.618643282,0.647948549,0.739825036,0.72146543,0.960060367,0.969397824,0.565779605,0.592580708,0.676606259,0.578244036,0.769474403,0.776958239
