READ_TIME_Date,h1vmba1uEV22,h1vmba2uEV22,h1vmba3uEV22,h2vmba1uEV22,h2vmba2uEV22,h2vmba3uEV22,h1v0ba1uEV22,h1v0ba2uEV22,h1v0ba3uEV22,h2v0ba1uEV22,h2v0ba2uEV22,h2v0ba3uEV22,A1vmba1uEV12,A1vmba2uEV12,A1vmba3uEV12,A2vmba1uEV12,A2vmba2uEV12,A2vmba3uEV12,A1v0ba1uEV12,A1v0ba2uEV12,A1v0ba3uEV12,A2v0ba1uEV12,A2v0ba2uEV12,A2v0ba3uEV12
01/01/2017 00.00,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2017 01.00,0.547405102,0.59303887,0.239955499,0.439279593,0.681657594,0.943912975,0.620403311,0.530294031,0.724586284,0.626074298,0.656434601,0.740442534,0.537507686,0.551610062,0.617593186,0.624964412,0.773493835,0.745562593,0.470632757,0.482980563,0.540754285,0.472950465,0.585352161,0.564214806
01/01/2017 02.00,0.53853355,0.595896885,0.447024893,0.560789659,0.683369015,0.964744087,0.607937613,0.530785259,0.708518709,0.651593344,0.660485132,0.734174323,0.516629115,0.541624005,0.607111187,0.560258604,0.66128451,0.694387317,0.45072848,0.47253505,0.52966876,0.463138908,0.546652177,0.574016679
01/01/2017 03.00,0.574351778,0.595081919,0.201475936,0.687579881,0.680763045,0.888261813,0.577201502,0.527087537,0.697626532,0.624675086,0.656912622,0.732239335,0.529252851,0.509903071,0.580937376,0.53509182,0.600482294,0.621299072,0.484606545,0.466889059,0.531931107,0.47665527,0.534904551,0.553447961
01/01/2017 04.00,0.620839103,0.585806971,0.230808962,0.574279898,0.666914367,0.911871311,0.557753779,0.52898079,0.708262365,0.587348728,0.654608774,0.730842489,0.489640402,0.488461858,0.5638664,0.513342664,0.60792828,0.558953468,0.461404249,0.460293668,0.531349847,0.484117338,0.573318061,0.527131454
01/01/2017 05.00,0.573856234,0.598081524,0.337427979,0.620636265,0.685361966,0.926769252,0.557695249,0.534416794,0.721551857,0.610961852,0.673898941,0.74655642,0.512869732,0.499331855,0.594161513,0.609751923,0.607527143,0.59839013,0.474176978,0.461660448,0.549335812,0.553324114,0.551305221,0.543013768
01/01/2017 06.00,0.584508913,0.595666257,0.459049242,0.463996789,0.701233143,0.954767678,0.564730644,0.54207957,0.749371651,0.587688541,0.684095314,0.784193929,0.528583174,0.486636656,0.582575307,0.583278924,0.619234066,0.623507992,0.505938969,0.465789416,0.557618109,0.518597335,0.550565301,0.554365278
01/01/2017 07.00,0.518487158,0.605543351,0.745397495,0.495629362,0.70838448,0.967540356,0.543691848,0.553379762,0.785964419,0.579297698,0.703370372,0.831252595,0.533873097,0.482543478,0.599543691,0.56647742,0.610919759,0.672642983,0.525416209,0.474899683,0.590046538,0.503703663,0.543221159,0.598104572
01/01/2017 08.00,0.579102233,0.619399074,0.435866485,0.497708242,0.726530724,0.956090189,0.549449652,0.574169784,0.831163207,0.569033089,0.733306829,0.873000017,0.544303346,0.504813234,0.640583008,0.565197344,0.639205779,0.741201245,0.536225164,0.497321138,0.631075909,0.51838271,0.586261114,0.679808414
01/01/2017 09.00,0.48175922,0.636225924,0.492506729,0.545675928,0.778610622,0.996713179,0.55064054,0.617321965,0.881633669,0.594891237,0.79496782,0.956595926,0.507216673,0.503051455,0.698805661,0.642645829,0.707158714,0.880753154,0.513614379,0.509396624,0.707619948,0.540329748,0.594571492,0.740527843
