,,ev21,ev22,ev23,ev24,ev25,ev26,ev27,ev28,ev29,ev30
1,h1,0,0,0,0,0,0,0,0,0,0
2,h2,0,0,1,0,0,0,0,0,0,0
3,h3,1,0,0,0,0,0,1,1,1,0
4,h4,0,1,0,0,0,1,0,0,0,0
5,h5,0,0,0,0,0,0,0,0,0,1
6,h6,0,0,0,0,0,0,0,0,0,0
7,h7,0,0,0,0,0,0,0,0,0,0
8,h8,0,0,0,0,0,0,0,0,0,0
9,h9,0,0,0,0,1,0,0,0,0,0
10,h10,0,0,0,0,0,0,0,0,0,0
11,h11,0,0,0,0,0,0,0,0,0,0
12,h12,0,0,0,0,0,0,0,0,0,0
13,h13,0,0,0,0,0,0,0,0,0,0
14,h14,0,0,0,0,0,0,0,0,0,0
15,h15,0,0,0,0,0,0,0,0,0,0
16,h16,0,0,0,1,0,0,0,0,0,0
17,h17,0,0,0,0,0,0,0,0,0,0
18,h18,0,0,0,0,0,0,0,0,0,0
19,h19,0,0,0,0,0,0,0,0,0,0
20,h20,0,0,0,0,0,0,0,0,0,0
21,h21,0,0,0,0,0,0,0,0,0,0
22,h22,0,0,0,0,0,0,0,0,0,0
23,h23,0,0,0,0,0,0,0,0,0,0
24,h24,0,0,0,0,0,0,0,0,0,0
25,h1,0,0,0,0,0,0,0,0,0,0
26,h2,0,0,1,0,0,0,0,0,0,0
27,h3,1,0,0,0,0,0,1,1,1,0
28,h4,0,1,0,0,0,1,0,0,0,0
29,h5,0,0,0,0,0,0,0,0,0,1
30,h6,0,0,0,0,0,0,0,0,0,0
31,h7,0,0,0,0,0,0,0,0,0,0
32,h8,0,0,0,0,0,0,0,0,0,0
33,h9,0,0,0,0,1,0,0,0,0,0
34,h10,0,0,0,0,0,0,0,0,0,0
35,h11,0,0,0,0,0,0,0,0,0,0
36,h12,0,0,0,0,0,0,0,0,0,0
37,h13,0,0,0,0,0,0,0,0,0,0
38,h14,0,0,0,0,0,0,0,0,0,0
39,h15,0,0,0,0,0,0,0,0,0,0
40,h16,0,0,0,1,0,0,0,0,0,0
41,h17,0,0,0,0,0,0,0,0,0,0
42,h18,0,0,0,0,0,0,0,0,0,0
43,h19,0,0,0,0,0,0,0,0,0,0
44,h20,0,0,0,0,0,0,0,0,0,0
45,h21,0,0,0,0,0,0,0,0,0,0
46,h22,0,0,0,0,0,0,0,0,0,0
47,h23,0,0,0,0,0,0,0,0,0,0
48,h24,0,0,0,0,0,0,0,0,0,0
49,h1,0,0,0,0,0,0,0,0,0,0
50,h2,0,0,1,0,0,0,0,0,0,0
51,h3,1,0,0,0,0,0,1,1,1,0
52,h4,0,1,0,0,0,1,0,0,0,0
53,h5,0,0,0,0,0,0,0,0,0,1
54,h6,0,0,0,0,0,0,0,0,0,0
55,h7,0,0,0,0,0,0,0,0,0,0
56,h8,0,0,0,0,0,0,0,0,0,0
57,h9,0,0,0,0,1,0,0,0,0,0
58,h10,0,0,0,0,0,0,0,0,0,0
59,h11,0,0,0,0,0,0,0,0,0,0
60,h12,0,0,0,0,0,0,0,0,0,0
61,h13,0,0,0,0,0,0,0,0,0,0
62,h14,0,0,0,0,0,0,0,0,0,0
63,h15,0,0,0,0,0,0,0,0,0,0
64,h16,0,0,0,1,0,0,0,0,0,0
65,h17,0,0,0,0,0,0,0,0,0,0
66,h18,0,0,0,0,0,0,0,0,0,0
67,h19,0,0,0,0,0,0,0,0,0,0
68,h20,0,0,0,0,0,0,0,0,0,0
69,h21,0,0,0,0,0,0,0,0,0,0
70,h22,0,0,0,0,0,0,0,0,0,0
71,h23,0,0,0,0,0,0,0,0,0,0
72,h24,0,0,0,0,0,0,0,0,0,0
73,h1,0,0,0,0,0,0,0,0,0,0
74,h2,0,0,1,0,0,0,0,0,0,0
75,h3,1,0,0,0,0,0,1,1,1,0
76,h4,0,1,0,0,0,1,0,0,0,0
77,h5,0,0,0,0,0,0,0,0,0,1
78,h6,0,0,0,0,0,0,0,0,0,0
79,h7,0,0,0,0,0,0,0,0,0,0
80,h8,0,0,0,0,0,0,0,0,0,0
81,h9,0,0,0,0,1,0,0,0,0,0
82,h10,0,0,0,0,0,0,0,0,0,0
83,h11,0,0,0,0,0,0,0,0,0,0
84,h12,0,0,0,0,0,0,0,0,0,0
85,h13,0,0,0,0,0,0,0,0,0,0
86,h14,0,0,0,0,0,0,0,0,0,0
87,h15,0,0,0,0,0,0,0,0,0,0
88,h16,0,0,0,1,0,0,0,0,0,0
89,h17,0,0,0,0,0,0,0,0,0,0
90,h18,0,0,0,0,0,0,0,0,0,0
91,h19,0,0,0,0,0,0,0,0,0,0
92,h20,0,0,0,0,0,0,0,0,0,0
93,h21,0,0,0,0,0,0,0,0,0,0
94,h22,0,0,0,0,0,0,0,0,0,0
95,h23,0,0,0,0,0,0,0,0,0,0
96,h24,0,0,0,0,0,0,0,0,0,0
97,h1,0,0,0,0,0,0,0,0,0,0
98,h2,0,0,1,0,0,0,0,0,0,0
99,h3,1,0,0,0,0,0,1,1,1,0
100,h4,0,1,0,0,0,1,0,0,0,0
101,h5,0,0,0,0,0,0,0,0,0,1
102,h6,0,0,0,0,0,0,0,0,0,0
103,h7,0,0,0,0,0,0,0,0,0,0
104,h8,0,0,0,0,0,0,0,0,0,0
105,h9,0,0,0,0,1,0,0,0,0,0
106,h10,0,0,0,0,0,0,0,0,0,0
107,h11,0,0,0,0,0,0,0,0,0,0
108,h12,0,0,0,0,0,0,0,0,0,0
109,h13,0,0,0,0,0,0,0,0,0,0
110,h14,0,0,0,0,0,0,0,0,0,0
111,h15,0,0,0,0,0,0,0,0,0,0
112,h16,0,0,0,1,0,0,0,0,0,0
113,h17,0,0,0,0,0,0,0,0,0,0
114,h18,0,0,0,0,0,0,0,0,0,0
115,h19,0,0,0,0,0,0,0,0,0,0
116,h20,0,0,0,0,0,0,0,0,0,0
117,h21,0,0,0,0,0,0,0,0,0,0
118,h22,0,0,0,0,0,0,0,0,0,0
119,h23,0,0,0,0,0,0,0,0,0,0
120,h24,0,0,0,0,0,0,0,0,0,0
121,h1,0,0,0,0,0,0,0,0,0,0
122,h2,0,0,0,0,0,0,0,0,0,0
123,h3,0,0,0,0,0,0,0,0,0,0
124,h4,0,0,0,1,0,0,0,0,0,0
125,h5,0,0,0,0,0,0,0,0,0,0
126,h6,1,0,0,0,0,0,0,0,0,0
127,h7,0,0,1,0,1,0,1,1,0,0
128,h8,0,0,0,0,0,0,0,0,0,0
129,h9,0,1,0,0,0,0,0,0,1,0
130,h10,0,0,0,0,0,0,0,0,0,1
131,h11,0,0,0,0,0,0,0,0,0,0
132,h12,0,0,0,0,0,1,0,0,0,0
133,h13,0,0,0,0,0,0,0,0,0,0
134,h14,0,0,0,0,0,0,0,0,0,0
135,h15,0,0,0,0,0,0,0,0,0,0
136,h16,0,0,0,0,0,0,0,0,0,0
137,h17,0,0,0,0,0,0,0,0,0,0
138,h18,0,0,0,0,0,0,0,0,0,0
139,h19,0,0,0,0,0,0,0,0,0,0
140,h20,0,0,0,0,0,0,0,0,0,0
141,h21,0,0,0,0,0,0,0,0,0,0
142,h22,0,0,0,0,0,0,0,0,0,0
143,h23,0,0,0,0,0,0,0,0,0,0
144,h24,0,0,0,0,0,0,0,0,0,0
145,h1,0,0,0,0,0,0,0,0,0,0
146,h2,0,0,0,0,0,0,0,0,0,0
147,h3,0,0,0,0,0,0,0,0,0,0
148,h4,0,0,0,1,0,0,0,0,0,0
149,h5,0,0,0,0,0,0,0,0,0,0
150,h6,1,0,0,0,0,0,0,0,0,0
151,h7,0,0,1,0,1,0,1,1,0,0
