,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2
,AW,AW,AW,AW,AW,AW,AW,AW,AA,AA,AA,AA,AA,AA,AA,AA,AASH,AASH,AASH,AASH,AASH,AASH,AASH,AASH,EL,EL,EL,EL,EL,EL,EL,EL
,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040
h1vmba1uEV21,731,1315,2046,3975,622,1120,1743,3386,699,1674,2576,2737,595,1426,2194,2331,83,200,307,326,71,170,262,278,850,443,67,0,724,377,57,0
h1vmba2uEV21,11691,21044,32734,63598,9959,17926,27885,54176,11178,26786,41209,43784,9522,22817,35104,37298,1332,3193,4912,5219,1135,2720,4185,4446,4863,2535,384,0,4143,2160,327,0
h1vmba3uEV21,2192,3946,6138,11925,1867,3361,5228,10158,2096,5022,7727,8210,1785,4278,6582,6993,250,599,921,979,213,510,785,834,1881,981,149,0,1603,835,127,0
h2vmba1uEV21,1003,1806,2809,5457,855,1538,2393,4649,959,2298,3536,3757,817,1958,3012,3200,114,274,422,448,97,233,359,382,2759,1438,218,0,2350,1225,186,0
h2vmba2uEV21,16050,28891,44941,87314,13673,24611,38283,74378,15346,36774,56575,60111,13073,31326,48194,51206,1829,4384,6744,7166,1558,3734,5745,6104,15791,8233,1247,0,13452,7013,1063,0
h2vmba3uEV21,3009,5417,8426,16371,2564,4614,7178,13946,2877,6895,10608,11271,2451,5874,9036,9601,343,822,1265,1344,292,700,1077,1145,6108,3184,482,0,5203,2713,411,0
h1v0ba1uEV21,225,405,630,1224,192,345,537,1043,215,516,793,843,183,439,676,718,26,61,95,100,22,52,81,86,5348,2788,422,0,4555,2375,360,0
h1v0ba2uEV21,3600,6481,10081,19587,3067,5521,8588,16685,3442,8249,12691,13484,2932,7027,10811,11487,410,983,1513,1607,350,838,1289,1369,30606,15956,2418,0,26072,13592,2059,0
h1v0ba3uEV21,675,1215,1890,3672,575,1035,1610,3128,645,1547,2380,2528,550,1318,2027,2154,77,184,284,301,66,157,242,257,11839,6172,935,0,10085,5258,797,0
h2v0ba1uEV21,1416,2549,3965,7704,1206,2171,3378,6563,1354,3245,4992,5304,1153,2764,4252,4518,161,387,595,632,137,329,507,539,3732,1946,295,0,3179,1657,251,0
h2v0ba2uEV21,22658,40785,63443,123261,19302,34743,54044,105000,21664,51914,79867,84859,18455,44223,68035,72287,2583,6189,9521,10116,2200,5272,8110,8617,21360,11136,1687,0,18196,9486,1437,0
h2v0ba3uEV21,4248,7647,11896,23111,3619,6514,10133,19688,4062,9734,14975,15911,3460,8292,12757,13554,484,1160,1785,1897,412,988,1521,1616,8262,4307,653,0,7038,3669,556,0
A1vmba1uEV11,0,0,0,0,0,0,0,0,466,1116,1717,1824,397,951,1463,1554,21,50,77,82,18,43,65,69,364,190,29,0,310,162,25,0
A1vmba2uEV11,0,0,0,0,0,0,0,0,7452,17857,27472,29189,6348,15212,23402,24865,333,798,1228,1305,284,680,1046,1112,2084,1087,165,0,1776,926,140,0
A1vmba3uEV11,0,0,0,0,0,0,0,0,1397,3348,5151,5473,1190,2852,4388,4662,62,150,230,245,53,128,196,208,806,420,64,0,687,358,54,0
A2vmba1uEV11,0,0,0,0,0,0,0,0,639,1532,2357,2505,545,1305,2008,2134,29,68,105,112,24,58,90,95,1182,616,93,0,1007,525,80,0
A2vmba2uEV11,0,0,0,0,0,0,0,0,10231,24516,37717,40074,8715,20884,32129,34137,457,1096,1686,1791,390,934,1436,1526,6768,3528,535,0,5765,3006,455,0
A2vmba3uEV11,0,0,0,0,0,0,0,0,1918,4597,7072,7514,1634,3916,6024,6401,86,205,316,336,73,175,269,286,2618,1365,207,0,2230,1163,176,0
A1v0ba1uEV11,0,0,0,0,0,0,0,0,143,344,529,562,122,293,450,479,6,15,24,25,5,13,20,21,2292,1195,181,0,1952,1018,154,0
A1v0ba2uEV11,0,0,0,0,0,0,0,0,2295,5499,8461,8990,1955,4685,7207,7658,103,246,378,402,87,209,322,342,13117,6838,1036,0,11174,5825,883,0
A1v0ba3uEV11,0,0,0,0,0,0,0,0,430,1031,1586,1686,367,878,1351,1436,19,46,71,75,16,39,60,64,5074,2645,401,0,4322,2253,341,0
A2v0ba1uEV11,0,0,0,0,0,0,0,0,903,2163,3328,3536,769,1843,2835,3012,40,97,149,158,34,82,127,135,1599,834,126,0,1362,710,108,0
A2v0ba2uEV11,0,0,0,0,0,0,0,0,14443,34609,53245,56573,12303,29482,45357,48192,646,1547,2380,2529,550,1318,2028,2154,9154,4772,723,0,7798,4065,616,0
A2v0ba3uEV11,0,0,0,0,0,0,0,0,2708,6489,9983,10607,2307,5528,8504,9036,121,290,446,474,103,247,380,404,3541,1846,280,0,3016,1573,238,0
