,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2
,AW,AW,AW,AW,AW,AW,AW,AW,AA,AA,AA,AA,AA,AA,AA,AA,AASH,AASH,AASH,AASH,AASH,AASH,AASH,AASH,EL,EL,EL,EL,EL,EL,EL,EL
,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040
h1vmba1uEV21,731,1169,1695,2338,622,996,1444,1992,699,998,1610,1932,595,850,1371,1645,83,119,192,230,71,101,163,196,850,695,379,212,724,592,323,181
h1vmba2uEV21,11691,18705,27123,37411,9959,15934,23105,31868,11178,15968,25755,30906,9522,13603,21940,26328,1332,1904,3070,3684,1135,1622,2615,3138,4863,3978,2168,1216,4143,3388,1847,1036
h1vmba3uEV21,2192,3507,5086,7015,1867,2988,4332,5975,2096,2994,4829,5795,1785,2550,4114,4936,250,357,576,691,213,304,490,588,1881,1539,839,470,1603,1311,714,401
h2vmba1uEV21,1003,1605,2327,3210,855,1367,1983,2735,959,1370,2210,2652,817,1167,1883,2259,114,163,263,316,97,139,224,269,2759,2257,1230,690,2350,1922,1048,588
h2vmba2uEV21,16050,25681,37237,51361,13673,21876,31720,43752,15346,21923,35359,42431,13073,18675,30121,36145,1829,2613,4215,5058,1558,2226,3591,4309,15791,12916,7040,3948,13452,11002,5997,3363
h2vmba3uEV21,3009,4815,6982,9630,2564,4102,5948,8204,2877,4111,6630,7956,2451,3502,5648,6777,343,490,790,948,292,417,673,808,6108,4996,2723,1527,5203,4256,2320,1301
h1v0ba1uEV21,225,360,522,720,192,307,445,613,215,307,496,595,183,262,422,507,26,37,59,71,22,31,50,60,5348,4374,2384,1337,4555,3726,2031,1139
h1v0ba2uEV21,3600,5761,8353,11522,3067,4907,7116,9815,3442,4918,7932,9518,2932,4189,6757,8108,410,586,946,1135,350,499,805,967,30606,25032,13645,7651,26072,21324,11623,6518
h1v0ba3uEV21,675,1080,1566,2160,575,920,1334,1840,645,922,1487,1785,550,785,1267,1520,77,110,177,213,66,94,151,181,11839,9683,5278,2960,10085,8248,4496,2521
h2v0ba1uEV21,1416,2266,3285,4532,1206,1930,2799,3860,1354,1934,3120,3744,1153,1648,2658,3189,161,231,372,446,137,196,317,380,3732,3052,1664,933,3179,2600,1417,795
h2v0ba2uEV21,22658,36253,52567,72507,19302,30882,44780,61765,21664,30949,49917,59901,18455,26364,42522,51026,2583,3689,5951,7141,2200,3143,5069,6083,21360,17470,9523,5340,18196,14882,8112,4549
h2v0ba3uEV21,4248,6797,9856,13595,3619,5790,8396,11581,4062,5803,9359,11231,3460,4943,7973,9567,484,692,1116,1339,412,589,950,1141,8262,6758,3684,2066,7038,5757,3138,1760
A1vmba1uEV11,0,0,0,0,0,0,0,0,466,665,1073,1288,397,567,914,1097,21,30,48,58,18,25,41,49,364,298,162,91,310,254,138,78
A1vmba2uEV11,0,0,0,0,0,0,0,0,7452,10646,17170,20604,6348,9068,14626,17552,333,476,768,921,284,405,654,785,2084,1705,929,521,1776,1452,792,444
A1vmba3uEV11,0,0,0,0,0,0,0,0,1397,1996,3219,3863,1190,1700,2742,3291,62,89,144,173,53,76,123,147,806,659,359,202,687,562,306,172
A2vmba1uEV11,0,0,0,0,0,0,0,0,639,913,1473,1768,545,778,1255,1506,29,41,66,79,24,35,56,67,1182,967,527,296,1007,824,449,252
A2vmba2uEV11,0,0,0,0,0,0,0,0,10231,14615,23573,28288,8715,12450,20081,24097,457,653,1054,1265,390,557,898,1077,6768,5535,3017,1692,5765,4715,2570,1441
A2vmba3uEV11,0,0,0,0,0,0,0,0,1918,2740,4420,5304,1634,2334,3765,4518,86,123,198,237,73,104,168,202,2618,2141,1167,654,2230,1824,994,558
A1v0ba1uEV11,0,0,0,0,0,0,0,0,143,205,330,397,122,175,282,338,6,9,15,18,5,8,13,15,2292,1874,1022,573,1952,1597,870,488
A1v0ba2uEV11,0,0,0,0,0,0,0,0,2295,3279,5288,6346,1955,2793,4505,5405,103,147,236,284,87,125,201,242,13117,10728,5848,3279,11174,9139,4981,2793
A1v0ba3uEV11,0,0,0,0,0,0,0,0,430,615,991,1190,367,524,845,1014,19,27,44,53,16,23,38,45,5074,4150,2262,1268,4322,3535,1927,1081
A2v0ba1uEV11,0,0,0,0,0,0,0,0,903,1290,2080,2496,769,1098,1772,2126,40,58,93,112,34,49,79,95,1599,1308,713,400,1362,1114,607,341
A2v0ba2uEV11,0,0,0,0,0,0,0,0,14443,20632,33278,39934,12303,17576,28348,34018,646,922,1488,1785,550,786,1267,1521,9154,7487,4081,2289,7798,6378,3477,1950
A2v0ba3uEV11,0,0,0,0,0,0,0,0,2708,3869,6240,7488,2307,3295,5315,6378,121,173,279,335,103,147,238,285,3541,2896,1579,885,3016,2467,1345,754
