,DK1,DK1,DK1,DK1,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK2,DK2,DK2,DK2
,BEV,BEV,BEV,BEV,PHEV,PHEV,PHEV,PHEV,BEV,BEV,BEV,BEV,PHEV,PHEV,PHEV,PHEV
,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040
h1vmba1uEV21,40.93048406,327.4438725,1800.941299,6876.321322,40.93048406,261.955098,818.6096811,1309.77549,29.37771231,235.0216985,1292.619342,4935.455669,29.37771231,188.0173588,587.5542463,940.0867941
h1vmba2uEV21,102.3262101,818.6096811,4502.353246,17190.8033,102.3262101,654.8877449,2046.524203,3274.438725,73.44428079,587.5542463,3231.548355,12338.63917,73.44428079,470.043397,1468.885616,2350.216985
h1vmba3uEV21,51.16310507,409.3048406,2251.176623,8595.401652,51.16310507,327.4438725,1023.262101,1637.219362,36.72214039,293.7771231,1615.774177,6169.319586,36.72214039,235.0216985,734.4428079,1175.108493
h2vmba1uEV21,281.0642123,2248.513698,12366.82534,47218.78767,281.0642123,1798.810959,5621.284246,8994.054793,201.732859,1613.862872,8876.245798,33891.12032,201.732859,1291.090298,4034.657181,6455.451489
h2vmba2uEV21,702.6605307,5621.284246,30917.06335,118046.9692,702.6605307,4497.027397,14053.21061,22485.13698,504.3321476,4034.657181,22190.61449,84727.8008,504.3321476,3227.725745,10086.64295,16138.62872
h2vmba3uEV21,351.3302654,2810.642123,15458.53168,59023.48458,351.3302654,2248.513698,7026.605307,11242.56849,252.1660738,2017.32859,11095.30725,42363.9004,252.1660738,1613.862872,5043.321476,8069.314361
h1v0ba1uEV21,191.9327448,1535.461958,8445.040772,32244.70113,191.9327448,1228.369567,3838.654896,6141.847834,137.7590588,1102.072471,6061.398588,23143.52188,137.7590588,881.6579764,2755.181176,4408.289882
h1v0ba2uEV21,479.831862,3838.654896,21112.60193,80611.75282,479.831862,3070.923917,9596.63724,15354.61958,344.397647,2755.181176,15153.49647,57858.8047,344.397647,2204.144941,6887.952941,11020.72471
h1v0ba3uEV21,239.915931,1919.327448,10556.30096,40305.87641,239.915931,1535.461958,4798.31862,7677.309792,172.1988235,1377.590588,7576.748235,28929.40235,172.1988235,1102.072471,3443.97647,5510.362353
h2v0ba1uEV21,313.4104683,2507.283747,13790.06061,52652.95868,313.4104683,2005.826997,6268.209367,10029.13499,224.9492716,1799.594173,9897.767951,37791.47763,224.9492716,1439.675338,4498.985432,7198.376692
h2v0ba2uEV21,783.5261709,6268.209367,34475.15152,131632.3967,783.5261709,5014.567494,15670.52342,25072.83747,562.373179,4498.985432,24744.41988,94478.69408,562.373179,3599.188346,11247.46358,17995.94173
h2v0ba3uEV21,391.7630854,3134.104683,17237.57576,65816.19835,391.7630854,2507.283747,7835.261709,12536.41873,281.1865895,2249.492716,12372.20994,47239.34704,281.1865895,1799.594173,5623.73179,8997.970865
A1vmba1uEV11,40.93048406,327.4438725,1800.941299,6876.321322,40.93048406,261.955098,818.6096811,1309.77549,29.37771231,235.0216985,1292.619342,4935.455669,29.37771231,188.0173588,587.5542463,940.0867941
A1vmba2uEV11,76.74465761,613.9572609,3376.764935,12893.10248,76.74465761,491.1658087,1534.893152,2455.829043,55.08321059,440.6656847,2423.661266,9253.979379,55.08321059,352.5325478,1101.664212,1762.662739
A1vmba3uEV11,51.16310507,409.3048406,2251.176623,8595.401652,51.16310507,327.4438725,1023.262101,1637.219362,36.72214039,293.7771231,1615.774177,6169.319586,36.72214039,235.0216985,734.4428079,1175.108493
A2vmba1uEV11,281.0642123,2248.513698,12366.82534,47218.78767,281.0642123,1798.810959,5621.284246,8994.054793,201.732859,1613.862872,8876.245798,33891.12032,201.732859,1291.090298,4034.657181,6455.451489
A2vmba2uEV11,526.995398,4215.963184,23187.79751,88535.22687,526.995398,3372.770548,10539.90796,16863.85274,378.2491107,3025.992886,16642.96087,63545.8506,378.2491107,2420.794308,7564.982214,12103.97154
A2vmba3uEV11,351.3302654,2810.642123,15458.53168,59023.48458,351.3302654,2248.513698,7026.605307,11242.56849,252.1660738,2017.32859,11095.30725,42363.9004,252.1660738,1613.862872,5043.321476,8069.314361
A1v0ba1uEV11,191.9327448,1535.461958,8445.040772,32244.70113,191.9327448,1228.369567,3838.654896,6141.847834,137.7590588,1102.072471,6061.398588,23143.52188,137.7590588,881.6579764,2755.181176,4408.289882
A1v0ba2uEV11,359.8738965,2878.991172,15834.45145,60458.81461,359.8738965,2303.192938,7197.47793,11515.96469,258.2982353,2066.385882,11365.12235,43394.10353,258.2982353,1653.108706,5165.964706,8265.543529
A1v0ba3uEV11,239.915931,1919.327448,10556.30096,40305.87641,239.915931,1535.461958,4798.31862,7677.309792,172.1988235,1377.590588,7576.748235,28929.40235,172.1988235,1102.072471,3443.97647,5510.362353
A2v0ba1uEV11,313.4104683,2507.283747,13790.06061,52652.95868,313.4104683,2005.826997,6268.209367,10029.13499,224.9492716,1799.594173,9897.767951,37791.47763,224.9492716,1439.675338,4498.985432,7198.376692
A2v0ba2uEV11,587.6446282,4701.157025,25856.36364,98724.29753,587.6446282,3760.92562,11752.89256,18804.6281,421.7798843,3374.239074,18558.31491,70859.02056,421.7798843,2699.391259,8435.597686,13496.9563
A2v0ba3uEV11,391.7630854,3134.104683,17237.57576,65816.19835,391.7630854,2507.283747,7835.261709,12536.41873,281.1865895,2249.492716,12372.20994,47239.34704,281.1865895,1799.594173,5623.73179,8997.970865
