,DK1,DK1,DK1,DK1,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK2,DK2,DK2,DK2
,BEV,BEV,BEV,BEV,PHEV,PHEV,PHEV,PHEV,BEV,BEV,BEV,BEV,PHEV,PHEV,PHEV,PHEV
,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040
h1vmba1uEV21,40.51831791,648.2930868,2269.025803,7455.370495,40.51831791,324.1465432,972.4396298,2269.025803,29.08187182,465.3099492,1628.584822,5351.064414,29.08187182,232.6549745,697.9649236,1628.584822
h1vmba2uEV21,101.2957947,1620.732717,5672.564506,18638.42623,101.2957947,810.366358,2431.099075,5672.564508,72.70467951,1163.274873,4071.462054,13377.66103,72.70467951,581.6374362,1744.912309,4071.462055
h1vmba3uEV21,50.64789738,810.3663584,2836.282253,9319.213118,50.64789738,405.183179,1215.549537,2836.282253,36.35233977,581.6374365,2035.731027,6688.830517,36.35233977,290.8187181,872.4561541,2035.731027
h2vmba1uEV21,278.233922,4451.742752,15581.09963,51195.04164,278.233922,2225.871375,6677.614127,15581.09963,199.7013615,3195.221785,11183.27624,36745.05052,199.7013615,1597.610892,4792.832677,11183.27624
h2vmba2uEV21,695.5848048,11129.35688,38952.74907,127987.6041,695.5848048,5564.678438,16694.03531,38952.74906,499.2534038,7988.054463,27958.19061,91862.62632,499.2534038,3994.02723,11982.08169,27958.19061
h2vmba3uEV21,347.7924025,5564.678441,19476.37454,63993.80204,347.7924025,2782.339218,8347.017658,19476.37453,249.6267019,3994.027232,13979.09531,45931.31314,249.6267019,1997.013615,5991.040846,13979.0953
h1v0ba1uEV21,190,3040,10640,34960,190,1520,4560,10640,136.3717926,2181.948681,7636.820384,25092.40983,136.3717926,1090.974341,3272.923022,7636.820384
h1v0ba2uEV21,475,7600.000002,26600,87399.99999,475,3799.999999,11400,26599.99999,340.9294814,5454.871704,19092.05096,62731.02458,340.9294814,2727.435851,8182.307554,19092.05095
h1v0ba3uEV21,237.5,3800.000001,13299.99999,43700,237.5,1899.999999,5700,13300,170.4647407,2727.435852,9546.025475,31365.51229,170.4647407,1363.717925,4091.153777,9546.025479
h2v0ba1uEV21,310.2544542,4964.071269,17374.24944,57086.81957,310.2544542,2482.035633,7446.106901,17374.24944,222.6839793,3562.943671,12470.30284,40973.85219,222.6839793,1781.471834,5344.415504,12470.30285
h2v0ba2uEV21,775.6361356,12410.17817,43435.62359,142717.0489,775.6361356,6205.089084,18615.26726,43435.62359,556.7099484,8907.359176,31175.75711,102434.6305,556.7099484,4453.679586,13361.03876,31175.75711
h2v0ba3uEV21,387.8180677,6205.089085,21717.81179,71358.52446,387.8180677,3102.544542,9307.633627,21717.81179,278.3549742,4453.679587,15587.87855,51217.31524,278.3549742,2226.839793,6680.519381,15587.87855
A1vmba1uEV11,40.51831791,648.2930868,2269.025803,7455.370495,40.51831791,324.1465432,972.4396298,2269.025803,29.08187182,465.3099492,1628.584822,5351.064414,29.08187182,232.6549745,697.9649236,1628.584822
A1vmba2uEV11,75.97184608,1215.549538,4254.42338,13978.81968,75.97184608,607.7747685,1823.324306,4254.423379,54.52850966,872.4561548,3053.596541,10033.24578,54.52850966,436.2280772,1308.684232,3053.59654
A1vmba3uEV11,50.64789738,810.3663584,2836.282253,9319.213118,50.64789738,405.183179,1215.549537,2836.282253,36.35233977,581.6374365,2035.731027,6688.830517,36.35233977,290.8187181,872.4561541,2035.731027
A2vmba1uEV11,278.233922,4451.742752,15581.09963,51195.04164,278.233922,2225.871375,6677.614127,15581.09963,199.7013615,3195.221785,11183.27624,36745.05052,199.7013615,1597.610892,4792.832677,11183.27624
A2vmba2uEV11,521.6886036,8347.01766,29214.5618,95990.70306,521.6886036,4173.508829,12520.52649,29214.56181,374.4400528,5991.040847,20968.64295,68896.96972,374.4400528,2995.520423,8986.561268,20968.64296
A2vmba3uEV11,347.7924025,5564.678441,19476.37454,63993.80204,347.7924025,2782.339218,8347.017658,19476.37453,249.6267019,2017.32859,11095.30725,42363.9004,252.1660738,1613.862872,5043.321476,8069.314361
A1v0ba1uEV11,190,3040,10640,34960,190,1520,4560,10640,136.3717926,2181.948681,7636.820384,25092.40983,136.3717926,1090.974341,3272.923022,7636.820384
A1v0ba2uEV11,356.25,5700.000001,19950,65549.99999,356.25,2850,8550,19950,255.6971111,4091.153778,14319.03822,47048.26843,255.6971111,2045.576888,6136.730666,14319.03822
A1v0ba3uEV11,237.5,3800.000001,13299.99999,43700,237.5,1899.999999,5700,13300,170.4647407,2727.435852,9546.025475,31365.51229,170.4647407,1363.717925,4091.153777,9546.025479
A2v0ba1uEV11,310.2544542,4964.071269,17374.24944,57086.81957,310.2544542,2482.035633,7446.106901,17374.24944,222.6839793,3562.943671,12470.30284,40973.85219,222.6839793,1781.471834,5344.415504,12470.30285
A2v0ba2uEV11,581.7271017,9307.633629,32576.71769,107037.7867,581.7271017,4653.816812,13961.45044,32576.71769,417.5324613,6680.519382,23381.81783,76825.97287,417.5324613,3340.259689,10020.77907,23381.81783
A2v0ba3uEV11,387.8180677,6205.089085,21717.81179,71358.52446,387.8180677,3102.544542,9307.633627,21717.81179,278.3549742,4453.679587,15587.87855,51217.31524,278.3549742,2226.839793,6680.519381,15587.87855
