,DK1,DK1,DK1,DK1,DK1,DK1,DK1,DK1,DK2,DK2,DK2,DK2,DK2,DK2,DK2,DK2
,BEV,BEV,BEV,BEV,PHEV,PHEV,PHEV,PHEV,BEV,BEV,BEV,BEV,PHEV,PHEV,PHEV,PHEV
,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040,2020,2025,2030,2040
h1vmba1uEV21,40.51831791,243.1099075,1134.512902,2593.172346,40.51831791,64.82930865,113.4512901,810.3663582,29.08187182,174.491231,814.292411,1861.239796,29.08187182,46.5309949,81.42924108,581.6374364
h1vmba2uEV21,101.2957947,607.7747688,2836.282253,6482.930863,101.2957947,162.0732716,283.6282254,2025.915896,72.70467951,436.2280773,2035.731027,4653.099489,72.70467951,116.3274872,203.5731027,1454.093591
h1vmba3uEV21,50.64789738,303.8873844,1418.141127,3241.465432,50.64789738,81.03663581,141.8141126,1012.957947,36.35233977,218.1140387,1017.865513,2326.549745,36.35233977,58.16374363,101.7865513,727.0467952
h2vmba1uEV21,278.233922,1669.403532,7790.549813,17806.971,278.233922,445.1742751,779.0549815,5564.678438,199.7013615,1198.208169,5591.638122,12780.88714,199.7013615,319.5221784,559.1638123,3994.02723
h2vmba2uEV21,695.5848048,4173.50883,19476.37453,44517.42752,695.5848048,1112.935688,1947.637453,13911.69609,499.2534038,2995.520424,13979.0953,31952.21785,499.2534038,798.805446,1397.90953,9985.068074
h2vmba3uEV21,347.7924025,2086.754415,9738.18727,22258.71375,347.7924025,556.4678437,973.8187268,6955.848047,249.6267019,1497.760212,6989.547655,15976.10892,249.6267019,399.4027229,698.9547653,4992.534037
h1v0ba1uEV21,190,1140,5320,12160,190,304,532,3800,136.3717926,818.2307554,3818.410192,8727.794725,136.3717926,218.1948681,381.8410192,2727.435851
h1v0ba2uEV21,475,2850.000001,13300,30400,475,759.9999999,1330,9499.999997,340.9294814,2045.576889,9546.02548,21819.48681,340.9294814,545.4871702,954.602548,6818.589626
h1v0ba3uEV21,237.5,1425,6649.999997,15200,237.5,379.9999998,665,4750,170.4647407,1022.788445,4773.012738,10909.74341,170.4647407,272.743585,477.301274,3409.294814
h2v0ba1uEV21,310.2544542,1861.526726,8687.124719,19856.28507,310.2544542,496.4071265,868.7124718,6205.089086,222.6839793,1336.103877,6235.151422,14251.77468,222.6839793,356.2943668,623.5151422,4453.679588
h2v0ba2uEV21,775.6361356,4653.816815,21717.81179,49640.71267,775.6361356,1241.017817,2171.78118,15512.72271,556.7099484,3340.259691,15587.87855,35629.43669,556.7099484,890.7359173,1558.787856,11134.19897
h2v0ba3uEV21,387.8180677,2326.908407,10858.9059,24820.35633,387.8180677,620.5089084,1085.89059,7756.361353,278.3549742,1670.129845,7793.939277,17814.71835,278.3549742,445.3679586,779.3939277,5567.099482
A1vmba1uEV11,40.51831791,243.1099075,1134.512902,2593.172346,40.51831791,64.82930865,113.4512901,810.3663582,29.08187182,174.491231,814.292411,1861.239796,29.08187182,46.5309949,81.42924108,581.6374364
A1vmba2uEV11,75.97184608,455.8310766,2127.21169,4862.198149,75.97184608,121.5549537,212.721169,1519.436921,54.52850966,327.171058,1526.79827,3489.824618,54.52850966,87.24561543,152.679827,1090.570193
A1vmba3uEV11,50.64789738,303.8873844,1418.141127,3241.465432,50.64789738,81.03663581,141.8141126,1012.957947,36.35233977,218.1140387,1017.865513,2326.549745,36.35233977,58.16374363,101.7865513,727.0467952
A2vmba1uEV11,278.233922,1669.403532,7790.549813,17806.971,278.233922,445.1742751,779.0549815,5564.678438,199.7013615,1198.208169,5591.638122,12780.88714,199.7013615,319.5221784,559.1638123,3994.02723
A2vmba2uEV11,521.6886036,3130.131622,14607.2809,33388.07063,521.6886036,834.7017658,1460.72809,10433.77207,374.4400528,2246.640318,10484.32148,23964.16338,374.4400528,599.1040845,1048.432148,7488.801058
A2vmba3uEV11,347.7924025,2086.754415,9738.18727,22258.71375,347.7924025,556.4678437,973.8187268,6955.848047,249.6267019,2017.32859,11095.30725,42363.9004,252.1660738,1613.862872,5043.321476,8069.314361
A1v0ba1uEV11,190,1140,5320,12160,190,304,532,3800,136.3717926,818.2307554,3818.410192,8727.794725,136.3717926,218.1948681,381.8410192,2727.435851
A1v0ba2uEV11,356.25,2137.500001,9975.000002,22800,356.25,570,997.5,7125.000001,255.6971111,1534.182667,7159.519111,16364.61511,255.6971111,409.1153777,715.951911,5113.942222
A1v0ba3uEV11,237.5,1425,6649.999997,15200,237.5,379.9999998,665,4750,170.4647407,1022.788445,4773.012738,10909.74341,170.4647407,272.743585,477.301274,3409.294814
A2v0ba1uEV11,310.2544542,1861.526726,8687.124719,19856.28507,310.2544542,496.4071265,868.7124718,6205.089086,222.6839793,1336.103877,6235.151422,14251.77468,222.6839793,356.2943668,623.5151422,4453.679588
A2v0ba2uEV11,581.7271017,3490.362611,16288.35885,37230.5345,581.7271017,930.7633624,1628.835884,11634.54203,417.5324613,2505.194768,11690.90892,26722.07752,417.5324613,668.0519379,1169.090891,8350.649225
A2v0ba3uEV11,387.8180677,2326.908407,10858.9059,24820.35633,387.8180677,620.5089084,1085.89059,7756.361353,278.3549742,1670.129845,7793.939277,17814.71835,278.3549742,445.3679586,779.3939277,5567.099482
